"id","room_type","host_response_rate_num","host_acceptance_rate_num","price_num"
2992450,"Entire home/apt",,100,70.00
3820211,"Entire home/apt",100,76,116.00
5651579,"Entire home/apt",100,99,75.00
6623339,"Entire home/apt",100,76,116.00
8035768,"Entire home/apt",67,50,305.00
47902629,"Entire home/apt",100,68,125.00
8035784,"Private room",67,50,199.00
9005989,"Entire home/apt",100,100,86.00
9501054,"Private room",100,99,65.00
10768745,"Entire home/apt",98,92,50.00
17238066,"Private room",100,90,53.00
11253948,"Entire home/apt",94,88,214.00
11639446,"Private room",100,90,55.00
12284708,"Private room",100,95,45.00
12799126,"Private room",100,100,50.00
20519885,"Entire home/apt",100,100,275.00
13083497,"Entire home/apt",100,100,219.00
14316232,"Private room",100,95,45.00
14989805,"Entire home/apt",94,88,243.00
15580397,"Private room",100,100,60.00
16531782,"Entire home/apt",98,92,70.00
17514620,"Private room",100,95,45.00
18341426,"Entire home/apt",94,88,430.00
19527043,"Private room",100,92,70.00
19571496,"Private room",100,95,50.00
50088935,"Entire home/apt",100,100,99.00
20620135,"Entire home/apt",94,88,198.00
20633175,"Entire home/apt",100,94,126.00
20671966,"Entire home/apt",100,98,75.00
21052414,"Private room",100,95,40.00
21392315,"Entire home/apt",100,98,75.00
21449583,"Entire home/apt",94,88,570.00
21752534,"Entire home/apt",100,99,85.00
21769213,"Private room",100,95,35.00
21769439,"Private room",100,95,37.00
22398196,"Private room",100,98,65.00
22431640,"Entire home/apt",100,85,88.00
24120690,"Private room",50,63,
24606880,"Private room",100,98,65.00
24655782,"Entire home/apt",100,85,81.00
42009788,"Entire home/apt",97,23,110.00
25549565,"Entire home/apt",79,79,84.00
25976514,"Private room",50,100,25.00
26139592,"Entire home/apt",,,98.00
27670660,"Private room",100,98,65.00
27692601,"Entire home/apt",100,0,195.00
28341274,"Private room",100,92,75.00
28400263,"Private room",100,92,51.00
28519423,"Private room",100,100,60.00
28722270,"Entire home/apt",100,99,93.00
28868857,"Entire home/apt",100,99,56.00
28929840,"Private room",100,100,95.00
29605579,"Entire home/apt",100,76,102.00
30189794,"Private room",100,98,60.00
31210362,"Private room",75,100,49.00
32279028,"Private room",100,100,
32450400,"Private room",,,122.00
32993402,"Entire home/apt",100,99,106.00
33558235,"Entire home/apt",100,99,107.00
34330970,"Entire home/apt",99,98,140.00
35793179,"Private room",100,92,51.00
35914565,"Entire home/apt",99,98,100.00
36443605,"Entire home/apt",97,23,100.00
38321579,"Private room",100,100,55.00
39093517,"Entire home/apt",100,100,167.00
39698576,"Entire home/apt",97,23,85.00
39836487,"Entire home/apt",100,100,78.00
39864828,"Entire home/apt",100,100,274.00
40491172,"Entire home/apt",100,99,96.00
40828178,"Entire home/apt",100,86,118.00
40897436,"Entire home/apt",100,86,99.00
41319631,"Entire home/apt",,,92.00
816085193659797849,"Entire home/apt",100,99,80.00
42092736,"Private room",100,95,55.00
42389085,"Entire home/apt",100,99,112.00
42391372,"Entire home/apt",100,99,178.00
42567833,"Entire home/apt",,,200.00
42763847,"Entire home/apt",100,87,149.00
45804322,"Private room",100,88,100.00
43208391,"Entire home/apt",100,91,125.00
43459803,"Entire home/apt",100,100,179.00
43736299,"Entire home/apt",100,98,190.00
43955950,"Entire home/apt",99,98,245.00
44180048,"Entire home/apt",100,96,129.00
44265426,"Entire home/apt",100,96,139.00
44450012,"Entire home/apt",100,93,135.00
45024912,"Entire home/apt",100,100,124.00
45074220,"Entire home/apt",100,91,105.00
50171851,"Entire home/apt",100,89,119.00
45313545,"Entire home/apt",100,99,87.00
45334218,"Private room",100,100,240.00
45528939,"Entire home/apt",99,99,120.00
45529316,"Entire home/apt",99,99,120.00
45529447,"Entire home/apt",99,99,140.00
46894493,"Entire home/apt",100,99,190.00
47334913,"Entire home/apt",100,99,94.00
47345872,"Entire home/apt",100,76,115.00
47408047,"Entire home/apt",100,99,79.00
47440071,"Private room",100,97,132.00
47828453,"Entire home/apt",100,100,172.00
47943571,"Entire home/apt",100,98,102.00
48052353,"Entire home/apt",100,98,190.00
48124042,"Entire home/apt",100,98,107.00
48172884,"Private room",100,98,55.00
48470454,"Entire home/apt",94,88,507.00
49886937,"Shared room",50,0,45.00
50207226,"Entire home/apt",99,99,115.00
50211226,"Entire home/apt",100,100,112.00
50354540,"Entire home/apt",97,23,200.00
